"TopicID","ID","Label"
Applications-f69b52b4213a6bd3,Accounting,Accounting
Applications-f69b52b4213a6bd3,Spreadsheets,Spreadsheets
Applications-f69b52b4213a6bd3,CRM,CRM
Applications-f69b52b4213a6bd3,Design,Design
Copywriting-00ea56f446414284,Accounting,Accounting
Copywriting-00ea56f446414284,Improve,Improve
Copywriting-00ea56f446414284,keywords,Keywords
Copywriting-00ea56f446414284,call to action,Call to Action
Copywriting-00ea56f446414284,Games,Games
Copywriting-00ea56f446414284,Outreach,Outreach
Copywriting-00ea56f446414284,Persuade,Persuade
Copywriting-00ea56f446414284,Positioning,Positioning
Copywriting-00ea56f446414284,Product Description,Product Description
Copywriting-00ea56f446414284,Products,Products
Copywriting-00ea56f446414284,Research,Research
Copywriting-00ea56f446414284,Script Writing,Script Writing
Copywriting-00ea56f446414284,Sports Writing,Sports Writing
Copywriting-00ea56f446414284,Subject Lines,Subject Lines
Copywriting-00ea56f446414284,Summarize,Summarize
Copywriting-00ea56f446414284,marketing,Marketing
Copywriting-00ea56f446414284,writing,Writing
DevOps-f3e52afbf831197f,Database Administration,Database Administration
DevOps-f3e52afbf831197f,Configuration Management,Configuration Management
DevOps-f3e52afbf831197f,Containerization,Containerization
Marketing-cc647f5cf02ffd02,Partnerships,Partnerships
Marketing-cc647f5cf02ffd02,Products,Products
Marketing-cc647f5cf02ffd02,Segment your audience,Segment your audience
Marketing-cc647f5cf02ffd02,Places (Media Channels),Places (Media Channels)
Marketing-cc647f5cf02ffd02,Positioning,Positioning
Marketing-cc647f5cf02ffd02,Research,Research
Marketing-cc647f5cf02ffd02,Startup Ideas,Startup Ideas
Marketing-cc647f5cf02ffd02,Unmet Category-Related Needs,Unmet Category-Related Needs
Marketing-cc647f5cf02ffd02,Web Development,Web Development
Marketing-cc647f5cf02ffd02,marketing,Marketing
Marketing-cc647f5cf02ffd02,writing,Writing
Marketing-cc647f5cf02ffd02,Social Media,Social Media
OperatingSystems-8a5ca60d957fe707,Operating System Management,Operating System Management
Productivity-b5a49cdd0796137a,Plan,Plan
Productivity-b5a49cdd0796137a,Respond,Respond
Productivity-b5a49cdd0796137a,Summarize,Summarize
SEO-84c5d6a7b8e9f0c1,Outreach,Outreach
SEO-84c5d6a7b8e9f0c1,Products,Products
SEO-84c5d6a7b8e9f0c1,Research,Research
SEO-84c5d6a7b8e9f0c1,UNSURE,UNSURE
SEO-84c5d6a7b8e9f0c1,Web Development,Web Development
SEO-84c5d6a7b8e9f0c1,ideation,Ideation
SEO-84c5d6a7b8e9f0c1,keywords,Keywords
SEO-84c5d6a7b8e9f0c1,link building,Link Building
SEO-84c5d6a7b8e9f0c1,marketing,Marketing
SEO-84c5d6a7b8e9f0c1,writing,Writing
SaaS-84c5d6a7b8e9f0c2,Trial,Trial
SaaS-84c5d6a7b8e9f0c2,Cancel,Cancel
SaaS-84c5d6a7b8e9f0c2,Pricing,Pricing
SaaS-84c5d6a7b8e9f0c2,Refunds,Refunds
SaaS-84c5d6a7b8e9f0c2,Quota,Quota
SoftwareEngineering-f1858b980c341d28,Backend Development,Backend Development
SoftwareEngineering-f1858b980c341d28,Web Development,Web Development
SoftwareEngineering-f1858b980c341d28,Text Editor,Text Editor
SoftwareEngineering-f1858b980c341d28,Version Control,Version Control
Unsure-f69c57b424376b23,Design,Design
Unsure-f69c57b424376b23,UNSURE,UNSURE
Unsure-f69c57b424376b23,writing,Writing
Generative-AI-b983edfcaa490850,Midjourney,Midjourney
Generative-AI-b983edfcaa490850,Stable Diffusion,Stable Diffusion
Generative-AI-b983edfcaa490850,Dall-E,Dall-E
Generative-AI-b983edfcaa490850,Sora,Sora
Generative-AI-b983edfcaa490850,Ideogram AI,Ideogram AI
Generative-AI-b983edfcaa490850,Flux.1,Flux.1
Generative-AI-b983edfcaa490850,Leonardo AI,Leonardo AI
Generative-AI-b983edfcaa490850,Dream Studio,Dream Studio
Generative-AI-b983edfcaa490850,Audio Craft,Audio Craft
Generative-AI-b983edfcaa490850,Kaiber AI,Kaiber AI
Generative-AI-b983edfcaa490850,Adobe Firefly,Adobe Firefly
