"ID","LabelUser","LabelAuthor","StatusNo"
gpt-3.5-turbo-0524,GPT-3.5-turbo,GPT-3.5-turbo-0524,2
gpt-4-0524,GPT-4,GPT-4-0524,2
gpt-4-0524-browsing,GPT-4 browsing,GPT-4-0524 browsing,2
gpt-4-0524-plugins,GPT-4 plugins,GPT-4-0524 plugins,2
gpt-4-0524-codeinterpreter,GPT-4 code,GPT-4-0524 code,2
gpt-3.5-turbo-0925,GPT-3.5-turbo,GPT-3.5-turbo-0925,2
gpt-4-0925,GPT-4,GPT-4-0925,2
gpt-4-0925-browsing,GPT-4 browsing,GPT-4-0925 browsing,2
gpt-4-0925-plugins,GPT-4 plugins,GPT-4-0925 plugins,2
gpt-4-0925-codeinterpreter,GPT-4 code,GPT-4-0925 code,2
gpt-4-0925-dalle3,GPT-4 DallE3,GPT-4-0925 DallE3,2
gpt-3.5-turbo-0125,GPT-3.5 Turbo,GPT-3.5-Turbo-0125,2
gpt-4-turbo-2024-04-09,GPT-4 Turbo,GPT-4-Turbo-2024-04-09,1
gpt-4o-2024-05-13,GPT-4o,GPT-4o-2024-05-13,2
gpt-4o-2024-11-20,GPT-4o,GPT-4o-2024-11-20,2
gpt-4o-2025-01-29,GPT-4o,GPT-4o-2025-01-29,2
gpt-4o-2025-03-27,GPT-4o,GPT-4o-2025-03-27,1
gpt-4o-canmore-2024-10-03,GPT-4o Canvas,GPT-4o-Canvas-2024-10-03,2
gpt-4o-jawbone-2025-01-14,GPT-4o Tasks,GPT-4o-Tasks-2025-01-14,1
gpt-4o-mini-2024-07-18,GPT-4o mini,GPT-4o-mini-2024-07-18,2
gpt-4o-mini-2024-11-05,GPT-4o mini,GPT-4o-mini-2024-11-05,1
gpt-4.5-preview-2025-02-27,GPT-4.5,GPT-4.5-preview-2025-02-27,1
g-YyyyMT9XH,ChatGPT Classic,ChatGPT Classic,4
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet (June 2024),Claude-3-5-Sonnet-20240620,8
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,Claude-3-5-Sonnet-20241022,8
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,Claude-3-7-Sonnet-20250219,8
claude-3-opus-20240229,Claude 3 Opus,Claude-3-Opus-20240229,8
claude-3-haiku-20240307,Claude 3 Haiku,Claude-3-Haiku-20240307,8
claude-3-5-haiku-20241022,Claude 3.5 Haiku,Claude-3-5-Haiku-20241022,8
o1-preview-2024-09-12,o1-preview,o1-preview-2024-09-12,2
o1-mini-2024-09-12,o1-mini,o1-mini-2024-09-12,2
o1-2024-12-05,o1,o1-2024-12-05,1
o1-pro-2024-12-05,o1 pro,o1-pro-2024-12-05,1
o3-mini-2025-01-31,o3-mini,o3-mini-2025-01-31,1
o3-mini-high-2025-01-31,o3-mini-high,o3-mini-high-2025-01-31,1
